cid1_model,cid2_model,textmining
42532,82629,892
42532,166919,820
78096,152624,892
24277,159153,711
173260,85536,742
33828,9001,766
33828,30596,847
33828,65142,741
33828,11573,850
141050,45587,877
141050,72758,715
141050,84457,763
115420,77933,746
26596,136819,760
26596,128282,740
71135,23253,917
96930,5151,919
141987,153536,852
141987,55664,710
11801,136401,843
11801,120910,867
167510,170671,716
107497,18975,762
102346,53049,820
142257,34967,848
142257,48930,879
142257,50918,918
142257,110726,877
142257,30341,969
4809,122434,892
121134,67998,728
42801,146922,743
80743,120068,729
130405,17997,739
31139,167367,751
128272,148620,787
49184,154987,843
71351,10770,716
136014,122695,849
31831,141917,934
80641,134454,713
19781,93983,794
104957,27078,877
144580,43296,816
144580,21079,831
45682,45688,763
45682,69765,739
77408,40180,881
77408,5119,891
77408,118995,713
11662,43132,797
11662,112713,740
11662,152603,841
11662,42118,821
11662,56462,817
11662,158585,842
11662,28606,785
22956,72293,713
22956,97575,755
82100,57346,916
82100,114810,946
47503,12006,718
135401,28980,735
119612,136281,912
64778,56061,752
21314,108149,764
21314,46804,702
21314,4277,700
21314,147757,942
21314,163430,864
21314,101676,764
21314,139428,889
4259,171181,981
12557,79119,746
82108,4881,732
82108,162041,762
85983,96048,750
115682,180427,747
131588,71836,739
39756,94861,761
103049,68995,884
103049,43908,886
103049,33163,914
159552,103396,736
58206,162572,732
100299,148862,799
100299,15386,703
100299,150929,710
124703,111824,769
92184,107851,733
107656,50342,728
145049,164139,764
133676,164640,763
122268,149250,747
41592,10704,762
59978,101688,877
59978,75912,920
59978,165316,722
105220,96350,742
92929,147872,748
109322,74662,822
1840,156623,761
176838,69532,820
92304,68237,822
93161,95713,744
154265,172895,745
136095,76098,763
136095,141703,754
136095,129006,844
136095,125248,823
157780,4722,741
128464,87988,820
23345,128792,705
23345,85541,741
23345,21050,877
23345,54170,929
23345,53981,764
23345,5665,849
23345,11472,765
103347,154845,740
156119,96209,820
164425,97478,810
129790,149250,747
182726,110037,766
165098,63900,739
95926,18108,742
135686,69891,739
88385,157234,822
177227,150631,735
39420,52331,788
46959,149423,822
31567,66348,823
31567,62053,705
58978,31150,765
58978,145986,821
112499,130896,815
169995,100937,726
73021,37275,757
73021,111216,775
175891,88793,744
122359,56440,745
1081,128513,762
153631,111762,736
158654,175474,721
120043,125248,920
120043,178421,792
120043,63925,922
153900,160100,810
178704,114190,737
100484,34583,741
135750,31782,745
6829,143806,711
6829,3932,715
109078,117228,744
179285,69532,820
53694,98285,742
61905,148091,743
95002,20001,764
147870,66848,739
13176,56323,883
13176,171702,945
144427,97864,734
139526,131054,819
151126,158791,820
158203,152281,800
76177,164680,734
39607,24689,736
54626,36681,727
71077,112423,941
71077,28231,820
32108,107339,708
80286,146691,740
1345,17874,821
163651,158791,820
68587,19526,745
35509,17039,730
92767,147820,890
92767,77912,740
92767,108388,890
117835,24689,736
178520,6626,767
89413,121028,740
178716,22501,820
177749,87017,762
42952,107589,744
42952,54051,739
184278,122426,769
40625,39168,763
170899,97173,820
129591,105125,762
150857,171955,740
70876,91431,767
14246,173835,726
35931,121500,764
150373,114196,744
42354,148890,745
151036,129777,741
151036,82965,821
80511,124886,740
42665,87386,769
46854,49,739
92967,78348,762
4943,145040,745
131705,169983,820
64883,36162,820
162274,107209,764
150735,123696,743
113052,168121,755
113052,128662,751
14036,23220,822
133751,39168,763
99860,78587,768
111675,79078,921
182969,94244,761
107054,133926,731
123781,166760,763
127812,3607,767
127812,42283,740
154905,36208,766
118328,95299,747
32541,4667,819
47897,18754,734
74456,105058,821
165325,182993,765
167972,169983,746
137409,3293,738
70406,69891,739
150849,37199,734
87112,162517,728
20136,119260,819
76669,80378,817
144897,29276,768
131331,87750,765
131331,122261,743
173297,84157,822
133412,134475,820
109088,4077,715
13593,110828,810
54308,123763,749
28231,71077,820
155684,67018,728
18452,88880,731
94658,77671,752
161509,87756,732
116577,146922,743
69191,87988,821
68146,53706,767
47700,51346,822
73603,105230,766
73603,94696,762
20164,42569,733
120808,150425,822
136579,62203,738
136579,66550,763
174543,267,736
31697,37502,732
62892,182855,736
81442,169983,769
129037,126440,761
36989,30274,763
77571,127922,740
170518,50114,739
76991,139415,822
7635,167424,723
93303,5729,736
60586,133953,822
183376,91431,765
139965,17039,730
1130,21293,760
45396,51869,720
122803,88793,747
140049,26738,764
140049,136488,769
54859,153987,723
122683,124728,730
164395,39044,820
31810,2339,762
13878,40639,822
13878,22190,822
140446,89932,746
12295,88033,727
12295,126337,815
12295,123407,883
12295,100607,898
148730,62001,745
69300,133926,736
20435,39367,822
65896,80378,740
170172,83262,746
59479,135903,738
80350,65921,820
368,52331,822
110695,48714,739
123399,22875,741
23571,111673,776
23571,127144,891
23571,85642,898
23571,184365,871
23571,146325,769
23571,123466,923
77135,106544,770
77135,107424,739
7881,17874,821
147592,114043,729
141496,25340,731
153146,16563,744
1408,177624,925
107291,81686,768
134276,93117,734
134276,14104,739
155366,62203,738
155366,66550,763
156083,4699,739
23975,43473,766
164351,179882,764
173171,171161,739
142547,129777,743
10212,87386,769
133407,58225,736
114317,5729,736
157771,68843,843
157771,25150,747
157771,219,945
157771,137085,930
28060,165156,766
116846,50750,834
157904,10458,872
157904,28737,982
157904,17326,717
157904,103237,773
157904,123666,883
44947,17874,821
137517,139629,822
62262,181478,762
162027,52331,735
116660,129777,763
183634,174852,821
74524,67174,820
5171,20736,944
5171,106116,966
5171,174865,896
176707,105297,735
171144,154808,762
123253,143966,811
168846,136828,738
183269,48595,782
119879,68333,736
35068,111247,958
35068,136241,846
35068,22604,752
71463,173835,746
76027,159225,737
76027,148308,732
76027,49951,821
76027,91487,767
58432,94861,822
125737,172277,843
125737,54646,718
97696,106928,749
75669,16594,819
96353,175224,761
107068,24563,928
107068,171702,915
77476,122261,735
20545,147680,761
84042,69891,739
164803,161425,733
148008,142976,747
99544,112844,769
31140,7741,733
143824,168898,770
126937,39168,763
145813,47598,754
145813,55255,723
145813,93528,744
176995,175183,720
176995,149142,712
176995,174353,751
7227,151725,739
178307,171371,747
46048,3607,767
46048,42283,740
20608,111216,788
77680,135190,821
136090,65816,730
46277,133157,821
55526,182993,763
15599,119798,744
6491,161175,713
43958,105297,735
112457,170465,822
102229,92310,763
40766,165156,766
121508,81686,747
120797,119260,810
91614,92502,763
163841,77671,752
34143,175871,749
24541,125435,721
121716,89055,749
72402,38925,759
72402,48595,709
72402,168158,735
72402,111216,921
72402,93938,772
72402,41886,805
72402,115041,943
72402,137994,767
72402,94095,836
72402,101047,923
72402,79154,931
72402,19102,790
72402,119101,713
72402,179183,854
72402,106604,910
72402,133434,764
72402,102868,861
36596,156781,822
71547,23129,746
75164,107958,791
130260,2631,822
130260,174709,734
98988,49446,743
98988,38173,729
18600,7211,826
18600,43145,720
43554,34193,741
43554,22863,744
43554,71288,741
7683,157470,761
101096,80311,735
69477,29016,822
116309,151365,743
70107,21915,722
145530,113367,735
88565,134774,810
87672,75279,741
155517,92500,922
24587,48835,764
24587,178397,764
24587,26345,766
160330,38973,748
160330,106604,763
67919,134475,769
84710,75946,736
27867,112635,761
543,23635,730
34635,88033,742
34635,82454,897
34635,157684,740
34635,134298,797
34635,100924,816
34635,99151,879
138294,111216,726
31647,39168,763
6876,17130,741
5257,159314,736
110745,106690,764
108241,158902,743
128518,139640,819
134713,147065,739
49179,76114,742
47723,181542,776
47723,111530,944
47723,814,842
164334,118801,766
150148,101047,791
150148,38973,774
5146,112375,947
5146,113165,895
5146,62105,734
5146,24781,977
5146,165954,978
157476,31440,737
89365,136227,746
89766,61544,747
121323,93842,767
173592,38944,728
26664,59431,767
69852,105342,822
69852,110529,769
103259,119901,821
71920,37019,726
71920,8516,822
147650,27162,741
49462,91784,739
18380,29981,822
18380,11202,822
18380,93685,821
46122,119798,744
106261,39168,763
7857,172077,767
133604,66736,743
133604,158571,756
133604,156908,961
133604,154758,835
133604,26831,711
182058,101594,822
149670,22989,762
153227,92091,741
153227,122326,807
153227,171131,833
153227,18387,771
153227,179109,715
153227,77396,724
153227,176913,842
101208,110893,819
179799,74799,789
48398,155531,822
157035,166318,821
