cid_model,pid_model,label
66800,17373,1
66800,8040,1
164084,15477,1
164084,736,1
164084,11110,1
164084,12628,1
164084,315,1
164084,14354,1
164084,3198,1
164084,2219,1
164084,5326,1
164084,9800,1
164084,16957,1
164084,2619,1
164084,4363,1
164084,5528,1
164084,17739,1
164084,5029,1
164084,6576,1
164084,17024,1
54802,315,1
54802,5326,1
125625,18271,1
29703,4284,1
29703,14386,1
29703,11617,1
29703,2368,1
29703,2847,1
29703,15047,1
29703,8508,1
29703,15528,1
29703,4675,1
62970,4284,1
62970,9192,1
62970,16193,1
62970,11183,1
62970,13682,1
62970,8591,1
50492,8870,1
31493,15477,1
31493,1315,1
31493,3088,1
31493,736,1
31493,9044,1
31493,15528,1
66704,15177,1
66704,5159,1
66704,18187,1
66704,17835,1
133163,6778,1
43621,8254,1
43621,6286,1
43621,3790,1
43621,3877,1
43621,14015,1
43621,5909,1
43621,10841,1
144522,3143,1
144522,11679,1
144522,15163,1
144522,10216,1
144522,10709,1
144522,13090,1
144522,6494,1
144522,12597,1
144522,14947,1
144522,17167,1
144522,11269,1
144522,6194,1
144522,13516,1
144522,639,1
144522,2847,1
144522,63,1
144522,11499,1
144522,7840,1
144522,1806,1
144522,5326,1
144522,9716,1
144522,13284,1
144522,661,1
144522,12514,1
144522,2710,1
144522,12231,1
144522,6346,1
144522,12798,1
144522,8104,1
144522,4330,1
144522,16307,1
144522,713,1
11931,3235,1
126095,15477,1
126095,10149,1
126095,8254,1
126095,16056,1
126095,736,1
126095,17055,1
126095,315,1
126095,15882,1
126095,2847,1
126095,7686,1
126095,2219,1
126095,5326,1
126095,10797,1
126095,3258,1
126095,16957,1
126095,4363,1
126095,13682,1
126095,14476,1
126095,15522,1
126095,17024,1
126095,8374,1
126095,7294,1
126095,10688,1
126095,8868,1
126095,12751,1
126095,6016,1
117799,4284,1
117799,15477,1
117799,15578,1
117799,5455,1
117799,17475,1
117799,1315,1
117799,8254,1
117799,4883,1
117799,3721,1
117799,13416,1
117799,736,1
117799,9024,1
117799,315,1
117799,15882,1
117799,2847,1
117799,18012,1
117799,18187,1
117799,2219,1
117799,5326,1
117799,17026,1
117799,14385,1
117799,14816,1
117799,6286,1
117799,12718,1
117799,4029,1
117799,4363,1
117799,13682,1
117799,14476,1
117799,2915,1
117799,16520,1
117799,11281,1
117799,6576,1
117799,17024,1
117799,8374,1
117799,13059,1
117799,14015,1
117799,16838,1
