cid_model,pid_model
174805,6743
168763,14922
111931,5784
18087,1185
125625,13649
25558,16182
120404,7481
117229,10860
16057,2819
167015,9895
6511,15275
140540,9579
106681,7368
66800,14231
156643,17918
32890,4951
16896,3774
97995,9658
4822,13008
79918,15871
179600,130
23127,4414
52228,6698
65424,1908
80233,11624
38782,1113
18101,13650
145654,1992
128864,8756
177065,8658
167015,8667
119536,12570
75889,17149
165885,7161
37661,14311
147815,16000
167414,14
64576,8927
169866,7385
19589,15447
167015,8936
125625,3490
169866,4983
4387,4627
167414,672
68195,9869
153625,8570
72731,4724
92860,17408
27963,6549
68527,11252
27376,6012
176251,720
32896,2520
139785,14610
80045,6642
28229,11893
29458,5321
115872,3286
135479,15686
168763,16056
31718,17229
23127,3619
159403,14618
20033,13796
101402,13329
17583,16395
144707,7661
117799,13435
151325,880
11931,7203
106681,8264
130461,6762
19589,6189
150372,2573
47250,17810
161127,12539
181989,12362
147893,12878
32662,15052
164036,13045
1083,11905
117026,12919
103240,6218
140540,12246
134046,7237
120935,9353
127685,4554
78862,11698
16896,10980
27376,12502
127865,9143
80233,10470
144707,393
167015,14031
126095,6028
164036,11042
85089,9579
52695,17243
7108,10083
6511,1329
120851,6498
111016,17440
50492,10342
10558,11531
127685,15522
62970,16852
126095,13786
4606,17296
38336,16221
158490,17779
176054,6469
133183,4111
147815,5053
32662,8283
16057,3666
27376,7546
63684,377
32890,16187
181989,10896
10558,13003
76594,7936
158490,10820
52228,15207
8970,13370
141042,9210
116391,6444
151008,13917
165979,5434
63684,7259
56449,2077
168763,11208
139582,16185
32896,17255
160027,14387
9449,13705
29458,6626
145654,17557
68527,10246
133163,10005
29703,11098
96032,12269
140540,5343
178121,10319
66800,2498
146058,3103
6606,9428
182827,1267
121711,10246
79645,7567
146163,5599
164036,6969
144522,12004
151268,5736
10490,15064
126649,14618
116168,6160
135534,3368
119522,17676
61325,5797
79645,8239
92860,10358
66704,9548
106501,5600
856,15278
36777,16498
127422,2465
106681,9005
15007,10321
118203,8172
65585,5569
65585,6294
10490,10652
176054,4952
139448,11319
119536,1926
179940,12844
17315,417
90456,16291
27376,1055
108028,7716
146058,15919
4417,6579
116168,5053
26808,3421
144522,12705
27376,14533
120851,5415
